Provider Code,"Provider Name ",BID,Sent to Finance
22692,"Rafha Medical Center - Khobar",301679,2023-02-27 00:00:00.000
22559,"Royal Bahrain Hospital",360200,2024-05-13 00:00:00.000
23633,"The Speciality Hospital - Amman",365384,2024-05-13 00:00:00.000
20276,"Islamic Hospital ( Amman )",363844,2024-05-13 00:00:00.000
20276,"Islamic Hospital ( Amman )",363843,2024-05-13 00:00:00.000
22562,"Kims Bahrain Medical Center",360480,2024-05-13 00:00:00.000
22353,"Right Treatment Medical Center",349405,2024-05-13 00:00:00.000
23633,"The Speciality Hospital - Amman",365397,2024-05-13 00:00:00.000
22402,"Primary Care Medical Complex 2",375622,2024-07-24 00:00:00.000
